Dataset,EmbeddingStrategy,Architecture,Epoch,TrainLoss,ValLoss,ValBLEU,ValROUGE_L,RuntimeSec
Original_raw,bow,RNN,1,8.295025600735837,7.835754954814911,0.005238636016763996,0.0,8.412919759750366
Original_raw,bow,RNN,2,7.015459903011238,7.418259119987487,0.013343831123762175,0.001564945226917058,7.263232469558716
Original_raw,bow,RNN,3,5.9602546082719305,7.061866736412048,0.03896107538753289,0.0,7.339427947998047
Original_raw,bow,RNN,4,5.019776270778169,6.888606786727905,0.03991948262473105,0.0,7.428182601928711
Original_raw,bow,RNN,5,4.192098630157337,6.815087413787841,0.04272838011775247,0.003234220135628586,8.854981660842896
Original_raw,bow,LSTM,1,8.360999643014916,8.014401245117188,0.005845817268538974,0.0,16.047093391418457
Original_raw,bow,LSTM,2,7.554749381699751,7.806913185119629,0.0062974473035109085,0.0,19.10439395904541
Original_raw,bow,LSTM,3,7.008345101898462,7.571308648586273,0.008418715958026502,0.0,15.176036596298218
Original_raw,bow,LSTM,4,6.4457945340530465,7.417989110946655,0.025515230377908097,0.004161331626120359,11.885551929473877
Original_raw,bow,LSTM,5,5.85395181336592,7.249498093128205,0.040404456763822094,0.0,11.97365403175354
Original_raw,bow,GRU,1,8.316187606509036,7.8675492882728575,0.024084962459773346,0.0,11.968928098678589
Original_raw,bow,GRU,2,7.120272678425659,7.35544992685318,0.008514889596855648,0.0,11.962267637252808
Original_raw,bow,GRU,3,6.055792478737852,6.966409456729889,0.043660207850773236,0.001564945226917058,12.02352237701416
Original_raw,bow,GRU,4,5.007298922223667,6.7239266514778135,0.04987529371517836,0.00528374927930154,12.110038757324219
Original_raw,bow,GRU,5,4.077533058132894,6.610785138607025,0.05891297866747014,0.006629530532367846,16.366673946380615
Original_raw,bow,BiGRU,1,8.164703566597423,7.463841104507447,0.04336728218958015,0.005059478932614436,21.72424602508545
Original_raw,bow,BiGRU,2,6.461107753972125,6.756765687465668,0.060317973435163645,0.0051982463141816235,21.714720726013184
Original_raw,bow,BiGRU,3,4.893352862496733,6.4215810060501095,0.07448699218245414,0.00678172557085949,21.681753873825073
Original_raw,bow,BiGRU,4,3.4708461446383976,6.336682379245758,0.08794988026960633,0.014204791904322422,21.740931510925293
Original_raw,bow,BiGRU,5,2.3289883761679024,6.343730723857879,0.10159458391461255,0.02110118956294046,21.757822036743164
Original_raw,tfidf,RNN,1,8.304158530046235,7.839303326606751,0.029514256187974354,0.0,7.873739719390869
Original_raw,tfidf,RNN,2,6.9652490237735964,7.356553423404693,0.02687983772512604,0.0,7.860424757003784
Original_raw,tfidf,RNN,3,5.8836581066316445,7.045601892471313,0.032722022802591386,0.0,7.899640798568726
Original_raw,tfidf,RNN,4,4.925003621021556,6.8612018585205075,0.03607741387949246,0.0034776560598156845,7.9115636348724365
Original_raw,tfidf,RNN,5,4.089730566293658,6.751573300361633,0.04719122487666882,0.0020865936358894104,7.8659446239471436
Original_raw,tfidf,LSTM,1,8.381874160094409,8.044030928611756,0.006283492494407455,0.0,11.844817399978638
Original_raw,tfidf,LSTM,2,7.622260370968722,7.881437814235687,0.007201774897887206,0.0,11.948431730270386
Original_raw,tfidf,LSTM,3,7.12415363925144,7.691796445846558,0.007216285282723601,0.0,11.927664518356323
Original_raw,tfidf,LSTM,4,6.592641918669713,7.490413963794708,0.007498088645617302,0.0,12.006284713745117
Original_raw,tfidf,LSTM,5,6.026572116146004,7.3849188685417175,0.036435183207373,0.00028453549580310147,12.05373239517212
Original_raw,tfidf,GRU,1,8.325313026159344,7.846636164188385,0.007939276028729542,0.0,12.17057204246521
Original_raw,tfidf,GRU,2,7.090917732221965,7.342683112621307,0.034771204399241126,0.0,12.11707091331482
Original_raw,tfidf,GRU,3,6.034966941446985,6.958657395839691,0.03715065734183465,0.0011196356095016348,12.044647455215454
Original_raw,tfidf,GRU,4,5.012545506859666,6.7418180227279665,0.0400815039586942,0.0021527932231113233,12.151617050170898
Original_raw,tfidf,GRU,5,4.079421055999622,6.633921575546265,0.04709979249446393,0.005972874282733437,12.08236289024353
Original_raw,tfidf,BiGRU,1,8.1462940287485,7.498279118537903,0.03565652631724543,0.0029051977408784922,21.59740138053894
Original_raw,tfidf,BiGRU,2,6.361419108470631,6.769649386405945,0.04967170679171976,0.007394169012186295,21.6975257396698
Original_raw,tfidf,BiGRU,3,4.641623569480123,6.381691682338714,0.053807565686531486,0.008307303711306675,21.687596797943115
Original_raw,tfidf,BiGRU,4,3.1509762566520254,6.306946313381195,0.07321972461246451,0.014046004421591275,21.840749263763428
Original_raw,tfidf,BiGRU,5,2.025056627878534,6.356307709217072,0.07538520287218055,0.014472468932562831,21.821568965911865
Original_raw,w2v_sg,RNN,1,8.252927683523573,7.790219807624817,0.029514256187974354,0.0,7.880458116531372
Original_raw,w2v_sg,RNN,2,6.92072891243754,7.427763116359711,0.010650132786237063,0.0,7.801475763320923
Original_raw,w2v_sg,RNN,3,5.8881365654226965,7.150607013702393,0.010298221477107072,0.0,7.825828790664673
Original_raw,w2v_sg,RNN,4,4.9717733796997745,7.025613486766815,0.010295071915326965,0.0,7.845223903656006
Original_raw,w2v_sg,RNN,5,4.168869645585048,6.952064192295074,0.010358058023533873,0.0,7.7934839725494385
